Customer_ID,Customer_Name,City,State,Country
CUST0001,Vihaan Sharma,Washington,DC,India
CUST0002,Pooja Kumar,Fort Worth,TX,United States
CUST0003,Sneha Singh,Austin,TX,United States
CUST0004,Vihaan Reddy,Charlotte,NC,India
CUST0005,Aditya Kapoor,San Antonio,TX,Canada
CUST0006,Karan Sharma,Los Angeles,CA,United States
CUST0007,Aarav Verma,Chicago,IL,Australia
CUST0008,Rohit Kumar,Denver,CO,India
CUST0009,Aman Kapoor,Washington,DC,United States
CUST0010,Aarav Reddy,Houston,TX,United States
CUST0011,Rohit Reddy,Jacksonville,FL,Australia
CUST0012,Karan Kumar,Charlotte,NC,Australia
CUST0013,Simran Kapoor,New York,NY,United States
CUST0014,Pooja Sharma,Seattle,WA,United States
CUST0015,Mohit Mehta,Indianapolis,IN,United States
CUST0016,Anjali Gupta,Jacksonville,FL,United States
CUST0017,Arjun Kumar,Philadelphia,PA,United States
CUST0018,Anjali Verma,Seattle,WA,United States
CUST0019,Aditya Mehta,Phoenix,AZ,United States
CUST0020,Vihaan Patel,San Diego,CA,United States
CUST0021,Vikas Kapoor,Fort Worth,TX,United States
CUST0022,Pooja Sharma,Chicago,IL,Australia
CUST0023,Simran Reddy,Phoenix,AZ,Canada
CUST0024,Vihaan Mehta,Dallas,TX,United States
CUST0025,Aditya Reddy,Jacksonville,FL,United States
CUST0026,Priya Kapoor,Columbus,OH,Canada
CUST0027,Vikas Kapoor,San Francisco,CA,United States
CUST0028,Rohit Verma,San Antonio,TX,United Kingdom
CUST0029,Vivaan Kumar,Denver,CO,United States
CUST0030,Priya Verma,Phoenix,AZ,United States
CUST0031,Sneha Verma,Charlotte,NC,United Kingdom
CUST0032,Sunita Gupta,Houston,TX,India
CUST0033,Simran Patel,Washington,DC,United States
CUST0034,Mohit Patel,Austin,TX,United States
CUST0035,Vikas Kumar,Fort Worth,TX,United States
CUST0036,Pooja Verma,Columbus,OH,United Kingdom
CUST0037,Kabir Singh,Phoenix,AZ,United States
CUST0038,Sahil Kumar,Fort Worth,TX,United States
CUST0039,Mohit Joshi,San Antonio,TX,United Kingdom
CUST0040,Sunita Gupta,Jacksonville,FL,United States
CUST0041,Sahil Kumar,Chicago,IL,United States
CUST0042,Anjali Sharma,San Antonio,TX,United States
CUST0043,Sneha Sharma,San Diego,CA,India
CUST0044,Anjali Mehta,San Antonio,TX,United States
CUST0045,Pooja Verma,Houston,TX,United States
CUST0046,Rohit Kapoor,New York,NY,United States
CUST0047,Anjali Kumar,Austin,TX,United States
CUST0048,Neha Mehta,San Diego,CA,Australia
CUST0049,Simran Singh,San Antonio,TX,Australia
CUST0050,Pooja Singh,San Jose,CA,India
CUST0051,Sneha Reddy,San Jose,CA,Australia
CUST0052,Sahil Gupta,Columbus,OH,United States
CUST0053,Ritika Mehta,Seattle,WA,United States
CUST0054,Ritika Mehta,Charlotte,NC,India
CUST0055,Vikas Kumar,Chicago,IL,United States
CUST0056,Arjun Reddy,Chicago,IL,United States
CUST0057,Neha Verma,San Jose,CA,United States
CUST0058,Vivaan Verma,San Diego,CA,Canada
CUST0059,Arjun Singh,Dallas,TX,United States
CUST0060,Karan Kapoor,Jacksonville,FL,India
CUST0061,Aditya Mehta,Austin,TX,India
CUST0062,Sunita Kapoor,Charlotte,NC,Canada
CUST0063,Simran Reddy,Fort Worth,TX,United States
CUST0064,Pooja Reddy,Chicago,IL,United States
CUST0065,Aarav Verma,Los Angeles,CA,India
CUST0066,Sahil Gupta,Indianapolis,IN,United States
CUST0067,Anjali Verma,Charlotte,NC,India
CUST0068,Priya Mehta,Indianapolis,IN,United States
CUST0069,Mohit Joshi,Columbus,OH,United States
CUST0070,Aarav Gupta,Denver,CO,United States
CUST0071,Aman Singh,San Jose,CA,United States
CUST0072,Aman Verma,Jacksonville,FL,United States
CUST0073,Priya Reddy,Dallas,TX,United States
CUST0074,Kabir Kumar,Indianapolis,IN,United States
CUST0075,Arjun Patel,Houston,TX,United States
CUST0076,Mohit Reddy,Philadelphia,PA,Canada
CUST0077,Aman Sharma,San Jose,CA,United States
CUST0078,Kabir Patel,Dallas,TX,United States
CUST0079,Neha Sharma,Chicago,IL,Australia
CUST0080,Vihaan Patel,San Francisco,CA,India
CUST0081,Priya Kumar,Austin,TX,India
CUST0082,Vivaan Kumar,Chicago,IL,United States
CUST0083,Ritika Verma,Austin,TX,United States
CUST0084,Aditya Joshi,Fort Worth,TX,United States
CUST0085,Aditya Reddy,Austin,TX,United States
CUST0086,Arjun Singh,Houston,TX,United States
CUST0087,Neha Reddy,Los Angeles,CA,United States
CUST0088,Mohit Gupta,Philadelphia,PA,Canada
CUST0089,Aman Kapoor,Denver,CO,United States
CUST0090,Karan Kumar,Fort Worth,TX,United States
CUST0091,Sahil Kumar,Denver,CO,United States
CUST0092,Priya Mehta,Dallas,TX,United States
CUST0093,Vikas Joshi,San Francisco,CA,United States
CUST0094,Aman Joshi,Dallas,TX,United States
CUST0095,Vihaan Kumar,Chicago,IL,United States
CUST0096,Sneha Verma,Charlotte,NC,United States
CUST0097,Anjali Sharma,Fort Worth,TX,United States
CUST0098,Ritika Reddy,San Francisco,CA,United States
CUST0099,Sneha Kapoor,Chicago,IL,United States
CUST0100,Sneha Sharma,Phoenix,AZ,India
CUST0101,Aditya Sharma,Philadelphia,PA,United States
CUST0102,Sneha Verma,New York,NY,United States
CUST0103,Vivaan Patel,San Diego,CA,United States
CUST0104,Aditya Reddy,Indianapolis,IN,United States
CUST0105,Sneha Gupta,Austin,TX,United States
CUST0106,Neha Kumar,Austin,TX,United States
CUST0107,Sahil Singh,Indianapolis,IN,United States
CUST0108,Ritika Kapoor,Los Angeles,CA,United States
CUST0109,Neha Kumar,Dallas,TX,United States
CUST0110,Neha Mehta,Phoenix,AZ,India
CUST0111,Rohit Verma,San Antonio,TX,United States
CUST0112,Vihaan Mehta,San Francisco,CA,United States
CUST0113,Vikas Mehta,Austin,TX,United States
CUST0114,Karan Joshi,San Antonio,TX,United States
CUST0115,Vivaan Verma,Los Angeles,CA,United States
CUST0116,Vivaan Mehta,Los Angeles,CA,United States
CUST0117,Anjali Verma,Fort Worth,TX,United States
CUST0118,Sneha Kumar,Denver,CO,United States
CUST0119,Rohit Reddy,Philadelphia,PA,United States
CUST0120,Simran Singh,San Francisco,CA,United States
CUST0121,Karan Singh,Columbus,OH,United States
CUST0122,Pooja Joshi,Austin,TX,Canada
CUST0123,Sneha Verma,San Francisco,CA,United States
CUST0124,Simran Reddy,San Jose,CA,United States
CUST0125,Vihaan Sharma,Houston,TX,United Kingdom
CUST0126,Sahil Sharma,Houston,TX,United States
CUST0127,Aditya Kumar,Charlotte,NC,United States
CUST0128,Mohit Mehta,Denver,CO,United States
CUST0129,Neha Joshi,Dallas,TX,United States
CUST0130,Rohit Mehta,Houston,TX,United States
CUST0131,Vivaan Singh,Los Angeles,CA,United States
CUST0132,Sunita Sharma,Charlotte,NC,Australia
CUST0133,Sunita Gupta,Seattle,WA,United States
CUST0134,Simran Gupta,San Diego,CA,United States
CUST0135,Karan Reddy,Los Angeles,CA,India
CUST0136,Neha Singh,Washington,DC,United Kingdom
CUST0137,Rohit Gupta,Philadelphia,PA,United States
CUST0138,Rohit Sharma,Jacksonville,FL,India
CUST0139,Ritika Reddy,Fort Worth,TX,United States
CUST0140,Vivaan Patel,Columbus,OH,United States
CUST0141,Vivaan Sharma,Seattle,WA,United States
CUST0142,Ritika Joshi,San Antonio,TX,United States
CUST0143,Aman Reddy,Houston,TX,United States
CUST0144,Mohit Sharma,Philadelphia,PA,United States
CUST0145,Aman Verma,New York,NY,United Kingdom
CUST0146,Mohit Verma,Washington,DC,India
CUST0147,Kabir Verma,San Francisco,CA,India
CUST0148,Sneha Mehta,Chicago,IL,United States
CUST0149,Vihaan Kapoor,Chicago,IL,United States
CUST0150,Sneha Kapoor,Columbus,OH,United States
CUST0151,Kabir Sharma,Austin,TX,United Kingdom
CUST0152,Kabir Verma,New York,NY,United Kingdom
CUST0153,Karan Kapoor,Columbus,OH,United States
CUST0154,Ritika Reddy,Phoenix,AZ,United Kingdom
CUST0155,Anjali Gupta,Philadelphia,PA,United States
CUST0156,Rohit Patel,Seattle,WA,United States
CUST0157,Sneha Gupta,Phoenix,AZ,United Kingdom
CUST0158,Sunita Singh,Houston,TX,Canada
CUST0159,Priya Joshi,Austin,TX,United States
CUST0160,Anjali Verma,Chicago,IL,United States
CUST0161,Aarav Joshi,Seattle,WA,United States
CUST0162,Kabir Kapoor,San Antonio,TX,United States
CUST0163,Vihaan Verma,San Antonio,TX,United States
CUST0164,Sahil Kumar,Dallas,TX,United States
CUST0165,Aman Gupta,Philadelphia,PA,United States
CUST0166,Arjun Patel,San Francisco,CA,United States
CUST0167,Aditya Kumar,Jacksonville,FL,United States
CUST0168,Vikas Gupta,Austin,TX,United States
CUST0169,Mohit Joshi,Dallas,TX,Canada
CUST0170,Sahil Gupta,Jacksonville,FL,Canada
CUST0171,Kabir Reddy,Denver,CO,United States
CUST0172,Aarav Reddy,Austin,TX,United States
CUST0173,Priya Verma,New York,NY,United States
CUST0174,Arjun Gupta,San Jose,CA,United States
CUST0175,Vihaan Verma,Los Angeles,CA,United States
CUST0176,Sahil Singh,Denver,CO,United Kingdom
CUST0177,Pooja Gupta,Chicago,IL,United States
CUST0178,Kabir Kumar,Charlotte,NC,India
CUST0179,Anjali Kumar,Los Angeles,CA,United States
CUST0180,Pooja Reddy,Jacksonville,FL,United States
CUST0181,Neha Gupta,Dallas,TX,United States
CUST0182,Vivaan Verma,New York,NY,United States
CUST0183,Karan Gupta,Houston,TX,Australia
CUST0184,Vivaan Sharma,Fort Worth,TX,United States
CUST0185,Anjali Singh,Chicago,IL,United States
CUST0186,Pooja Singh,Phoenix,AZ,United States
CUST0187,Simran Reddy,San Diego,CA,Canada
CUST0188,Karan Reddy,Philadelphia,PA,United States
CUST0189,Aarav Verma,Charlotte,NC,United States
CUST0190,Aditya Singh,Phoenix,AZ,United States
CUST0191,Sahil Sharma,San Diego,CA,United States
CUST0192,Vikas Kapoor,San Antonio,TX,Canada
CUST0193,Karan Singh,San Jose,CA,United States
CUST0194,Vivaan Gupta,Washington,DC,United States
CUST0195,Vikas Sharma,San Diego,CA,United States
CUST0196,Vikas Kumar,Houston,TX,United States
CUST0197,Vikas Reddy,San Jose,CA,Canada
CUST0198,Karan Kapoor,Dallas,TX,United States
CUST0199,Arjun Kumar,Dallas,TX,India
CUST0200,Mohit Singh,Dallas,TX,United States
CUST0201,Karan Sharma,Denver,CO,Canada
CUST0202,Mohit Patel,Fort Worth,TX,India
CUST0203,Karan Kumar,Columbus,OH,Australia
CUST0204,Pooja Singh,Columbus,OH,United States
CUST0205,Vihaan Mehta,Chicago,IL,India
CUST0206,Vivaan Joshi,Phoenix,AZ,India
CUST0207,Sneha Kumar,San Jose,CA,United Kingdom
CUST0208,Simran Patel,Los Angeles,CA,India
CUST0209,Priya Kumar,New York,NY,United Kingdom
CUST0210,Sneha Sharma,Washington,DC,United States
CUST0211,Rohit Mehta,Columbus,OH,India
CUST0212,Anjali Gupta,Fort Worth,TX,United States
CUST0213,Aditya Gupta,Fort Worth,TX,Canada
CUST0214,Vikas Reddy,Jacksonville,FL,United States
CUST0215,Sunita Reddy,Denver,CO,United States
CUST0216,Anjali Sharma,Houston,TX,India
CUST0217,Vihaan Gupta,San Diego,CA,India
CUST0218,Mohit Kapoor,Dallas,TX,United States
CUST0219,Pooja Sharma,Charlotte,NC,United States
CUST0220,Vihaan Kapoor,San Diego,CA,United States
CUST0221,Karan Patel,Austin,TX,United States
CUST0222,Anjali Mehta,San Antonio,TX,India
CUST0223,Kabir Reddy,Phoenix,AZ,United States
CUST0224,Ritika Kumar,Washington,DC,United States
CUST0225,Pooja Sharma,Chicago,IL,India
CUST0226,Karan Sharma,Denver,CO,United Kingdom
CUST0227,Aman Reddy,Denver,CO,United States
CUST0228,Rohit Patel,Denver,CO,United States
CUST0229,Karan Verma,Jacksonville,FL,United States
CUST0230,Anjali Kapoor,Chicago,IL,United States
CUST0231,Priya Reddy,Denver,CO,United States
CUST0232,Priya Mehta,Chicago,IL,United States
CUST0233,Anjali Mehta,Los Angeles,CA,India
CUST0234,Priya Reddy,Indianapolis,IN,United States
CUST0235,Arjun Kumar,Los Angeles,CA,United States
CUST0236,Karan Mehta,Fort Worth,TX,India
CUST0237,Mohit Kapoor,New York,NY,Australia
CUST0238,Ritika Gupta,Seattle,WA,Canada
CUST0239,Sunita Reddy,San Antonio,TX,United States
CUST0240,Aarav Gupta,Columbus,OH,United States
CUST0241,Priya Kumar,Seattle,WA,India
CUST0242,Karan Kapoor,Seattle,WA,India
CUST0243,Kabir Patel,Phoenix,AZ,United States
CUST0244,Simran Joshi,San Francisco,CA,United States
CUST0245,Simran Kumar,Charlotte,NC,United States
CUST0246,Aman Joshi,Philadelphia,PA,United States
CUST0247,Mohit Verma,Chicago,IL,United States
CUST0248,Priya Reddy,Washington,DC,United States
CUST0249,Kabir Patel,Austin,TX,Canada
CUST0250,Aditya Kumar,Chicago,IL,India
CUST0251,Priya Kumar,Dallas,TX,United States
CUST0252,Rohit Singh,Washington,DC,India
CUST0253,Aarav Sharma,Charlotte,NC,United States
CUST0254,Sneha Joshi,San Jose,CA,India
CUST0255,Kabir Verma,San Francisco,CA,United States
CUST0256,Simran Mehta,Phoenix,AZ,United States
CUST0257,Ritika Kumar,Houston,TX,United States
CUST0258,Sunita Joshi,Philadelphia,PA,United States
CUST0259,Sunita Kumar,Phoenix,AZ,India
CUST0260,Arjun Sharma,Fort Worth,TX,United States
CUST0261,Vihaan Mehta,Columbus,OH,United States
CUST0262,Sneha Singh,Seattle,WA,United States
CUST0263,Aman Joshi,Jacksonville,FL,United States
